id;name;game_time_type;game_time;stop_time_type;stop_time;stop_sd_time_type;stop_sd_time;points;dif_points;event_id
1;Table;open-source;18566;ivory Refined metrics;41701;Music Internal;88360;51065;38427;1
2;Planner;synthesize Electronics;84420;Nevada;90301;killer red;52690;24149;58784;2
3;Tasty methodologies Realigned;Chicken Overpass;58088;Music Investment;33352;Account Front-line plug-and-play;23683;96408;28989;3
4;Rustic Handcrafted JSON;Loan connecting systems;25972;open-source Avon;87717;of SQL;51272;4471;93983;4
5;azure;feed Kids;11317;TCP;89196;pixel Lithuania;92816;69138;19976;5
6;Islands Tasty;empower;47806;Marshall;68338;Cambridgeshire Armenian impactful;90520;22978;70503;6
7;Arizona Chicken benchmark;auxiliary Buckinghamshire help-desk;91420;Granite frame Borders;7582;Chicken methodologies Human;71647;7915;67439;7
8;Tasty;Intranet mint Supervisor;76921;PNG Personal;68883;Lead asymmetric monetize;30382;67033;79018;8
9;Sausages;Dynamic;69547;Place Table;39994;Movies;37592;97109;41462;9
10;Developer;Licensed quantifying;59139;Account Refined;8809;adapter;51213;80752;79385;10
