id;game_num;clasif;splitdeck_num;points_a;points_b;over_a;over_b;pvp_a;pvp_b;time_left;status;teama_id;teamb_id;category_id
1;78513;Cheese connect Dynamic;82892;42395;45877;79933;88142;360;38385;5928;PENDING;1;1;1
2;3062;bottom-line Directives paradigms;57345;74180;49553;56662;87189;18910;17044;95828;CREATED;2;2;2
3;57285;Vatu Ghana;65419;96064;26193;35371;66557;95035;85916;90255;IN_PROGRESS;3;3;3
4;44698;mindshare orchid;92493;69039;74870;7090;47881;3301;76115;79121;IN_PROGRESS;4;4;4
5;68547;payment XML;38632;95361;30834;83328;40785;1379;98869;36624;CREATED;5;5;5
6;56401;Investor;56275;76205;87562;86486;32502;17850;5156;22641;IN_PROGRESS;6;6;6
7;52472;Manager Mauritius Cambridgeshire;11459;58189;80723;63659;33713;67359;91186;34991;PENDING;7;7;7
8;26290;Optional Chair Industrial;70176;18287;18503;77800;47203;24888;70883;11066;IN_PROGRESS;8;8;8
9;26161;Avon;37121;14620;35120;3637;36006;76159;20889;68415;DONE;9;9;9
10;52137;Fresh Macao;33809;43414;7218;76324;53776;76511;3973;89464;IN_PROGRESS;10;10;10
